 2.00000000e-11  0.00000000e+00  2.00000000e-11  0.00000000e+00 
 4.00000000e-11  3.95241295e-13  4.00000000e-11  4.96804934e-25 
 8.00000000e-11  1.17631975e-12  8.00000000e-11  4.47124348e-24 
 1.60000000e-10  2.70157705e-12  1.60000000e-10  3.62667314e-23 
 3.20000000e-10  5.61023336e-12  3.20000000e-10  2.90630175e-22 
 6.40000000e-10  1.09030461e-11  6.40000000e-10  2.32552656e-21 
 1.28000000e-09  1.96915456e-11  1.28000000e-09  1.86043988e-20 
 2.00000000e-09  2.72372487e-11  2.00000000e-09  6.90228759e-20 
 2.12800000e-09  2.83582040e-11  2.12800000e-09  8.25801243e-20 
 2.38400000e-09  3.04370869e-11  2.38400000e-09  1.15046445e-19 
 2.89600000e-09  3.40165373e-11  2.89600000e-09  2.04510447e-19 
 3.92000000e-09  3.93610793e-11  3.92000000e-09  5.06549726e-19 
 5.92000000e-09  4.53720813e-11  5.92000000e-09  1.75828399e-18 
 7.92000000e-09  4.80436377e-11  7.92000000e-09  4.18515198e-18 
 9.92000000e-09  4.92309962e-11  9.92000000e-09  8.18297966e-18 
 1.19200000e-08  4.97587110e-11  1.19200000e-08  1.41465847e-17 
 1.39200000e-08  4.99932509e-11  1.39200000e-08  2.24695266e-17 
 1.59200000e-08  5.00974909e-11  1.59200000e-08  3.35438583e-17 
 1.79200000e-08  5.01438198e-11  1.79200000e-08  4.77598779e-17 
 1.99200000e-08  5.01644104e-11  1.99200000e-08  6.55058821e-17 
 2.19200000e-08  5.01735618e-11  2.19200000e-08  8.71679204e-17 
 2.39200000e-08  5.01776291e-11  2.39200000e-08  1.13129552e-16 
 2.59200000e-08  5.01794367e-11  2.59200000e-08  1.43771601e-16 
 2.79200000e-08  5.01802402e-11  2.79200000e-08  1.79471920e-16 
 2.99200000e-08  5.01805972e-11  2.99200000e-08  2.20605145e-16 
 3.19200000e-08  5.01807559e-11  3.19200000e-08  2.67542466e-16 
 3.39200000e-08  5.01808265e-11  3.39200000e-08  3.20651384e-16 
 3.59200000e-08  5.01808578e-11  3.59200000e-08  3.80295487e-16 
 3.79200000e-08  5.01808717e-11  3.79200000e-08  4.46834215e-16 
 3.99200000e-08  5.01808779e-11  3.99200000e-08  5.20622633e-16 
 4.19200000e-08  5.01808807e-11  4.19200000e-08  6.02011209e-16 
 4.39200000e-08  5.01808819e-11  4.39200000e-08  6.91345592e-16 
 4.59200000e-08  5.01808825e-11  4.59200000e-08  7.88966389e-16 
 4.79200000e-08  5.01808827e-11  4.79200000e-08  8.95208959e-16 
