 2.00000000e-11  4.96023873e-11  2.00000000e-11  4.99999984e-11  2.00000000e-11  7.90513610e-19  2.00000000e-11  4.99999992e-11 
 4.00000000e-11  4.92079364e-11  4.00000000e-11  4.99999953e-11  4.00000000e-11  3.16205394e-18  4.00000000e-11  4.99999984e-11 
 8.00000000e-11  4.84268705e-11  8.00000000e-11  4.99999858e-11  8.00000000e-11  1.26482126e-17  8.00000000e-11  4.99999984e-11 
 1.60000000e-10  4.69017108e-11  1.60000000e-10  4.99999478e-11  1.60000000e-10  5.05928129e-17  1.60000000e-10  4.99999984e-11 
 3.20000000e-10  4.39937989e-11  3.20000000e-10  4.99997960e-11  3.20000000e-10  2.02370832e-16  3.20000000e-10  4.99999984e-11 
 6.40000000e-10  3.87064004e-11  6.40000000e-10  4.99991889e-11  6.40000000e-10  8.09478197e-16  6.40000000e-10  4.99999984e-11 
 1.28000000e-09  2.99537518e-11  1.28000000e-09  4.99967606e-11  1.28000000e-09  3.23784361e-15  1.28000000e-09  4.99999984e-11 
 2.00000000e-09  2.24469639e-11  2.00000000e-09  4.99920937e-11  2.00000000e-09  7.90460460e-15  2.00000000e-09  4.99999984e-11 
 2.12800000e-09  2.13403523e-11  2.12800000e-09  4.99910173e-11  2.12800000e-09  8.94869648e-15  2.12800000e-09  4.99999660e-11 
 2.38400000e-09  1.92628308e-11  2.38400000e-09  4.99887348e-11  2.38400000e-09  1.12310874e-14  2.38400000e-09  4.99999659e-11 
 2.89600000e-09  1.56927392e-11  2.89600000e-09  4.99833933e-11  2.89600000e-09  1.65725589e-14  2.89600000e-09  4.99999658e-11 
 3.92000000e-09  1.04036573e-11  3.92000000e-09  4.99696042e-11  3.92000000e-09  3.03613650e-14  3.92000000e-09  4.99999655e-11 
 5.92000000e-09  4.62384768e-12  5.92000000e-09  4.99307380e-11  5.92000000e-09  6.92262982e-14  5.92000000e-09  4.99999643e-11 
 7.92000000e-09  2.05504341e-12  7.92000000e-09  4.98761073e-11  7.92000000e-09  1.23854708e-13  7.92000000e-09  4.99999620e-11 
 9.92000000e-09  9.13352628e-13  9.92000000e-09  4.98057466e-11  9.92000000e-09  1.94211456e-13  9.92000000e-09  4.99999580e-11 
 1.19200000e-08  4.05934501e-13  1.19200000e-08  4.97197006e-11  1.19200000e-08  2.80251457e-13  1.19200000e-08  4.99999521e-11 
 1.39200000e-08  1.80415334e-13  1.39200000e-08  4.96180241e-11  1.39200000e-08  3.81919710e-13  1.39200000e-08  4.99999438e-11 
 1.59200000e-08  8.01845928e-14  1.59200000e-08  4.95007815e-11  1.59200000e-08  4.99151335e-13  1.59200000e-08  4.99999328e-11 
 1.79200000e-08  3.56375968e-14  1.79200000e-08  4.93680470e-11  1.79200000e-08  6.31871608e-13  1.79200000e-08  4.99999186e-11 
 1.99200000e-08  1.58389319e-14  1.99200000e-08  4.92199049e-11  1.99200000e-08  7.79996017e-13  1.99200000e-08  4.99999009e-11 
 2.19200000e-08  7.03952530e-15  2.19200000e-08  4.90564490e-11  2.19200000e-08  9.43430308e-13  2.19200000e-08  4.99998793e-11 
 2.39200000e-08  3.12867791e-15  2.39200000e-08  4.88777829e-11  2.39200000e-08  1.12207055e-12  2.39200000e-08  4.99998534e-11 
 2.59200000e-08  1.39052352e-15  2.59200000e-08  4.86840196e-11  2.59200000e-08  1.31580320e-12  2.59200000e-08  4.99998228e-11 
 2.79200000e-08  6.18010451e-16  2.79200000e-08  4.84752820e-11  2.79200000e-08  1.52450516e-12  2.79200000e-08  4.99997872e-11 
 2.99200000e-08  2.74671312e-16  2.99200000e-08  4.82517022e-11  2.99200000e-08  1.74804390e-12  2.99200000e-08  4.99997461e-11 
 3.19200000e-08  1.22076139e-16  3.19200000e-08  4.80134217e-11  3.19200000e-08  1.98627749e-12  3.19200000e-08  4.99996992e-11 
 3.39200000e-08  5.42560616e-17  3.39200000e-08  4.77605914e-11  3.39200000e-08  2.23905470e-12  3.39200000e-08  4.99996461e-11 
 3.59200000e-08  2.41138051e-17  3.59200000e-08  4.74933714e-11  3.59200000e-08  2.50621514e-12  3.59200000e-08  4.99995865e-11 
 3.79200000e-08  1.07172467e-17  3.79200000e-08  4.72119307e-11  3.79200000e-08  2.78758930e-12  3.79200000e-08  4.99995200e-11 
 3.99200000e-08  4.76322077e-18  3.99200000e-08  4.69164476e-11  3.99200000e-08  3.08299869e-12  3.99200000e-08  4.99994463e-11 
 4.19200000e-08  2.11698701e-18  4.19200000e-08  4.66071090e-11  4.19200000e-08  3.39225596e-12  4.19200000e-08  4.99993650e-11 
 4.39200000e-08  9.40883115e-19  4.39200000e-08  4.62841107e-11  4.39200000e-08  3.71516501e-12  4.39200000e-08  4.99992757e-11 
 4.59200000e-08  4.18170273e-19  4.59200000e-08  4.59476570e-11  4.59200000e-08  4.05152111e-12  4.59200000e-08  4.99991781e-11 
 4.79200000e-08  1.85853455e-19  4.79200000e-08  4.55979609e-11  4.79200000e-08  4.40111101e-12  4.79200000e-08  4.99990719e-11 
 4.99200000e-08  8.26015354e-20  4.99200000e-08  4.52352436e-11  4.99200000e-08  4.76371312e-12  4.99200000e-08  4.99989568e-11 
 5.19200000e-08  3.67117935e-20  5.19200000e-08  4.48597347e-11  5.19200000e-08  5.13909763e-12  5.19200000e-08  4.99988323e-11 
 5.39200000e-08  1.63163527e-20  5.39200000e-08  4.44716717e-11  5.39200000e-08  5.52702664e-12  5.39200000e-08  4.99986983e-11 
 5.59200000e-08  7.25171230e-21  5.59200000e-08  4.40713000e-11  5.59200000e-08  5.92725433e-12  5.59200000e-08  4.99985544e-11 
 5.79200000e-08  3.22298325e-21  5.79200000e-08  4.36588731e-11  5.79200000e-08  6.33952710e-12  5.79200000e-08  4.99984002e-11 
 5.99200000e-08  1.43243700e-21  5.99200000e-08  4.32346518e-11  5.99200000e-08  6.76358376e-12  5.99200000e-08  4.99982356e-11 
 6.19200000e-08  6.36638666e-22  6.19200000e-08  4.27989045e-11  6.19200000e-08  7.19915564e-12  6.19200000e-08  4.99980601e-11 
 6.39200000e-08  2.82950518e-22  6.39200000e-08  4.23519067e-11  6.39200000e-08  7.64596684e-12  6.39200000e-08  4.99978736e-11 
 6.59200000e-08  1.25755786e-22  6.59200000e-08  4.18939413e-11  6.59200000e-08  8.10373432e-12  6.59200000e-08  4.99976757e-11 
 6.79200000e-08  5.58914604e-23  6.79200000e-08  4.14252980e-11  6.79200000e-08  8.57216814e-12  6.79200000e-08  4.99974661e-11 
